Team,First Name,Last Name,Salary,Position,,,Salary,,,,,,,,,,,,,Salary
Boston Red Sox,Casey,Fossum,"324,500",Pitcher,,,,,,,"7,833,333",,,"6,000,000",,,,,,"6,000,000"
Boston Red Sox,Chad,Fox,"500,000",Pitcher,,,,,,,"312,500",,,"750,000",,,,,,"750,000"
Boston Red Sox,Nomar,Garciaparra,"11,000,000",Shortstop,,,,,,,"1,425,000",,,"2,700,000",,,,,,"2,700,000"
Boston Red Sox,Jeremy,Giambi,"2,000,000",Outfielder,,,,,,,"8,166,667",,,"335,000",,,,,,"335,000"
Boston Red Sox,Dicky,Gonzalez,"300,000",Pitcher,,,,,,,"305,000",,,"3,216,667",,,,,,"3,216,667"
Boston Red Sox,Shea,Hillenbrand,"407,500",Third Baseman,,,,,,,"3,875,000",,,"2,650,000",,,,,,"2,650,000"
Boston Red Sox,Bobby,Howry,"1,700,000",Pitcher,,,,,,,"375,000",,,"300,000",,,,,,"300,000"
Boston Red Sox,Damian,Jackson,"625,000",Shortstop,,,,,,,"302,500",,,"1,700,000",,,,,,"1,700,000"
Boston Red Sox,Derek,Lowe,"3,625,000",Pitcher,,,,,,,"304,000",,,"1,000,000",,,,,,"1,000,000"
Boston Red Sox,Brandon,Lyon,"309,500",Pitcher,,,,,,,"331,000",,,,,,,,,
Boston Red Sox,Pedro,Martinez,"15,500,000",Pitcher,,,,,,,"316,000",,,,,,,,,
Boston Red Sox,Ramiro,Mendoza,"2,900,000",Pitcher,,,,,,,"6,000,000",,,,,,,,,
Boston Red Sox,Kevin,Millar,"2,000,000",First Baseman,,,,,,,"750,000",,,,,,,,,
Boston Red Sox,Doug,Mirabelli,"805,000",Catcher,,,,,,,"2,700,000",,,,,,,,,
Boston Red Sox,Bill,Mueller,"2,100,000",Third Baseman,,,,,,,"335,000",,,,,,,,,
Boston Red Sox,Trot,Nixon,"4,000,000",Outfielder,,,,,,,"3,216,667",,,,,,,,,
Boston Red Sox,David,Ortiz,"1,250,000",First Baseman,,,,,,,"2,650,000",,,,,,,,,
Boston Red Sox,Robert,Person,"300,000",Pitcher,,,,,,,"300,000",,,,,,,,,
Boston Red Sox,Manny,Ramirez,"20,000,000",Outfielder,,,,,,,"1,700,000",,,,,,,,,
Boston Red Sox,Mike,Timlin,"1,850,000",Pitcher,,,,,,,"1,000,000",,,,,,,,,
Boston Red Sox,Jason,Varitek,"4,700,000",Catcher,,,,,,,,,,,,,,,,
Boston Red Sox,Tim,Wakefield,"4,000,000",Pitcher,,,,,,,,,,,,,,,,
Boston Red Sox,Todd,Walker,"3,450,000",Second Baseman,,,,,,,,,,,,,,,,
Boston Red Sox,Matt,White,"300,000",Pitcher,,,,,,,,,,,,,,,,
Cleveland Indians,Brian,Anderson,"1,500,000",Pitcher,,,,,,,,,,,,,,,,
Cleveland Indians,Danys,Baez,"5,125,000",Pitcher,,,,,,,,,,,,,,,,
Cleveland Indians,Josh,Bard,"302,100",Catcher,,,,,,,,,,,,,,,,
Cleveland Indians,Jason,Bere,"1,000,000",Pitcher,,,,,,,,,,,,,,,,
Cleveland Indians,Casey,Blake,"330,000",Third Baseman,,,,,,,,,,,,,,,,
Cleveland Indians,Milton,Bradley,"314,300",Outfielder,,,,,,,,,,,,,,,,
Cleveland Indians,Benjamin,Broussard,"303,000",First Baseman,,,,,,,,,,,,,,,,
Cleveland Indians,Ellis,Burks,"7,166,667",Outfielder,,,,,,,,,,,,,,,,
Cleveland Indians,Jason,Davis,"301,100",Pitcher,,,,,,,,,,,,,,,,
Cleveland Indians,Karim,Garcia,"900,000",Outfielder,,,,,,,,,,,,,,,,
Cleveland Indians,Ricky,Gutierrez,"3,916,667",Shortstop,,,,,,,,,,,,,,,,
Cleveland Indians,Travis,Hafner,"302,200",First Baseman,,,,,,,,,,,,,,,,
Cleveland Indians,Tim,Laker,"400,000",Catcher,,,,,,,,,,,,,,,,
Cleveland Indians,Matt,Lawton,"6,750,000",Outfielder,,,,,,,,,,,,,,,,
Cleveland Indians,Cliff,Lee,"300,900",Pitcher,,,,,,,,,,,,,,,,
Cleveland Indians,John,McDonald,"314,400",Shortstop,,,,,,,,,,,,,,,,
Cleveland Indians,Terry,Mulholland,"500,000",Pitcher,,,,,,,,,,,,,,,,
Cleveland Indians,Aaron,Myette,"307,500",Pitcher,,,,,,,,,,,,,,,,
Cleveland Indians,Brandon,Phillips,"300,900",Shortstop,,,,,,,,,,,,,,,,
Cleveland Indians,David,Riske,"314,000",Pitcher,,,,,,,,,,,,,,,,
Cleveland Indians,Ricardo,Rodriguez,"302,400",Pitcher,,,,,,,,,,,,,,,,
Cleveland Indians,CC,Sabathia,"1,100,000",Pitcher,,,,,,,,,,,,,,,,
Cleveland Indians,Carl,Sadler,"303,200",Pitcher,,,,,,,,,,,,,,,,
Cleveland Indians,Jose,Santiago,"600,000",Pitcher,,,,,,,,,,,,,,,,
Cleveland Indians,Bill,Selby,"325,000",Second Baseman,,,,,,,,,,,,,,,,
Cleveland Indians,Shane,Spencer,"600,000",Outfielder,,,,,,,,,,,,,,,,
Cleveland Indians,Billy,Traber,"300,000",Pitcher,,,,,,,,,,,,,,,,
Cleveland Indians,Omar,Vizquel,"5,500,000",Shortstop,,,,,,,,,,,,,,,,
Cleveland Indians,Jake,Westbrook,"305,500",Pitcher,,,,,,,,,,,,,,,,
Cleveland Indians,Bob,Wickman,"6,000,000",Pitcher,,,,,,,,,,,,,,,,
Cleveland Indians,Mark,Wohlers,"2,600,000",Pitcher,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Dave,Berg,"700,000",Shortstop,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Mike,Bordick,"1,000,000",Shortstop,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Frank,Catalanotto,"2,200,000",Outfielder,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Doug,Creek,"700,000",Pitcher,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Carlos,Delgado,"18,700,000",First Baseman,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Kelvim,Escobar,"3,900,000",Pitcher,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Bob,File,"310,000",Pitcher,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Roy,Halladay,"3,825,000",Pitcher,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Mark,Hendrickson,"302,000",Pitcher,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Eric,Hinske,"600,000",Third Baseman,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Ken,Huckaby,"313,000",Catcher,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Orlando,Hudson,"313,000",Second Baseman,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Cory,Lidle,"5,350,000",Pitcher,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Doug,Linton,"350,000",Pitcher,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Aquilino,Lopez,"300,000",Pitcher,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Trever,Miller,"305,000",Pitcher,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Greg,Myers,"800,000",Catcher,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Josh,Phelps,"320,000",First Baseman,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Cliff,Politte,"845,000",Pitcher,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Shannon,Stewart,"6,200,000",Outfielder,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Tanyon,Sturtze,"1,000,000",Pitcher,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Jeff,Tam,"600,000",Pitcher,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Pete,Walker,"425,000",Pitcher,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Vernon,Wells,"520,000",Outfielder,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Jayson,Werth,"300,000",Catcher,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Tom,Wilson,"316,000",Catcher,,,,,,,,,,,,,,,,
Toronto Blue Jays ,Chris,Woodward,"775,000",Shortstop,,,,,,,,,,,,,,,,
Baltimore Orioles,Tony,Batista,"6,400,000",Third Baseman,,,,,,,,,,,,,,,,
Baltimore Orioles,Rick,Bauer,"325,000",Pitcher,,,,,,,,,,,,,,,,
Baltimore Orioles,Erik,Bedard,"300,000",Pitcher,,,,,,,,,,,,,,,,
Baltimore Orioles,Albert,Belle,"13,000,000",Outfielder,,,,,,,,,,,,,,,,
Baltimore Orioles,Jeff,Conine,"4,250,000",Outfielder,,,,,,,,,,,,,,,,
Baltimore Orioles,Marty,Cordova,"3,100,000",Outfielder,,,,,,,,,,,,,,,,
Baltimore Orioles,Deivi,Cruz,"1,000,000",Shortstop,,,,,,,,,,,,,,,,
Baltimore Orioles,Omar,Daal,"3,000,000",Pitcher,,,,,,,,,,,,,,,,
Baltimore Orioles,Scott,Erickson,"7,030,000",Pitcher,,,,,,,,,,,,,,,,
Baltimore Orioles,Brook,Fordyce,"3,500,000",Catcher,,,,,,,,,,,,,,,,
Baltimore Orioles,Jay,Gibbons,"375,000",First Baseman,,,,,,,,,,,,,,,,
Baltimore Orioles,Geronimo,Gil,"330,000",Catcher,,,,,,,,,,,,,,,,
Baltimore Orioles,Buddy,Groom,"3,000,000",Pitcher,,,,,,,,,,,,,,,,
Baltimore Orioles,Jerry,Hairston,"1,550,000",Shortstop,,,,,,,,,,,,,,,,
Baltimore Orioles,Rick,Helling,"1,000,000",Pitcher,,,,,,,,,,,,,,,,
Baltimore Orioles,Pat,Hentgen,"1,200,000",Pitcher,,,,,,,,,,,,,,,,
Baltimore Orioles,Jason,Johson,"2,900,000",Pitcher,,,,,,,,,,,,,,,,
Baltimore Orioles,Jorge,Julio,"350,000",Pitcher,,,,,,,,,,,,,,,,
Baltimore Orioles,Jose,Leon,"305,000",Third Baseman,,,,,,,,,,,,,,,,
Baltimore Orioles,Kerry,Ligtenberg,"1,200,000",Pitcher,,,,,,,,,,,,,,,,
Baltimore Orioles,Rodrigo,Lopez,"325,000",Pitcher,,,,,,,,,,,,,,,,
Baltimore Orioles,Gary,Matthews,"900,000",Outfielder,,,,,,,,,,,,,,,,
Baltimore Orioles,Melvin,Mora,"1,725,000",Outfielder,,,,,,,,,,,,,,,,
Baltimore Orioles,Jose,Morban,"300,000",Shortstop,,,,,,,,,,,,,,,,
Baltimore Orioles,Sidney,Ponson,"4,250,000",Pitcher,,,,,,,,,,,,,,,,
Baltimore Orioles,Willis,Roberts,"3,500,000",Pitcher,,,,,,,,,,,,,,,,
Baltimore Orioles,BJ,Ryan,"762,500",Pitcher,,,,,,,,,,,,,,,,
Baltimore Orioles,David,Segui,"7,000,000",First Baseman,,,,,,,,,,,,,,,,
Baltimore Orioles,BJ,Surhoff,"1,000,000",First Baseman,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Brent,Abernathy,"300,000",Second Baseman,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Marlon,Anderson,"600,000",Second Baseman,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Rocco,Baldelli,"300,000",Outfielder,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Nick,Bierbrodt,"300,000",Pitcher,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Lance,Carter,"300,000",Pitcher,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Jesus,Colome,"300,000",Pitcher,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Carl,Crawford,"300,000",Outfielder,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Ben,Grieve,"5,500,000",Outfielder,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Toby,Hall,"300,000",Catcher,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Travis,Harper,"325,000",Pitcher,,,,,,,,,,,,,,,,
Tampa Bay Devil Rays,Aubrey,Huff,"325,000",Third Baseman,,,,,,,,,,,,,,,,
