Team,First Name,Last Name,Salary,Position,,,Salary,,,,,,,,,,,,,Salary
Detroit Tigers,Brandon,Inge,"315,000",Catcher,,,,,,,,,,,,,,,,
Detroit Tigers,Eugene,Kingsale,"340,000",Outfielder,,,,,,,,,,,,,,,,
Detroit Tigers,Gary,Knotts,"305,000",Pitcher,,,,,,,,,,,,,,,,
Detroit Tigers,Wilfredo,Ledezma,"300,000",Pitcher,,,,,,,,,,,,,,,,
Detroit Tigers,Mike,Maroth,"309,000",Pitcher,,,,,,,,,,,,,,,,
Detroit Tigers,Eric,Munson,"1,700,000",Third Baseman,,,,,,,,,,,,,,,,
Detroit Tigers,Dean,Palmer,"8,500,000",Third Baseman,,,,,,,,,,,,,,,,
Detroit Tigers,Craig,Paquette,"2,625,000",Third Baseman,,,,,,,,,,,,,,,,
Detroit Tigers,Danny,Patterson,"2,500,000",Pitcher,,,,,,,,,,,,,,,,
Detroit Tigers,Carlos,Pena,"310,000",First Baseman,,,,,,,,,,,,,,,,
Detroit Tigers,Matt,Roney,"300,000",Pitcher,,,,,,,,,,,,,,,,
Detroit Tigers,Ramon,Santiago,"307,000",Second Baseman,,,,,,,,,,,,,,,,
Detroit Tigers,Steve,Sparks,"4,500,000",Pitcher,,,,,,,,,,,,,,,,
Detroit Tigers,Chris,Spurling,"305,000",Pitcher,,,,,,,,,,,,,,,,
Detroit Tigers,Matt,Walbeck,"400,000",Catcher,,,,,,,,,,,,,,,,
Detroit Tigers,Jamie,Walker,"360,000",Pitcher,,,,,,,,,,,,,,,,
Detroit Tigers,Dmitri,Young,"6,750,000",Outfielder,,,,,,,,,,,,,,,,
Seattle Mariners,Willie,Bloomquist,"300,000",Second Baseman,,,,,,,,,,,,,,,,
Seattle Mariners,Bret,Boone,"8,000,000",Second Baseman,,,,,,,,,,,,,,,,
Seattle Mariners,Pat,Borders,"500,000",Catcher,,,,,,,,,,,,,,,,
Seattle Mariners,Mike,Cameron,"7,416,667",Outfielder,,,,,,,,,,,,,,,,
Seattle Mariners,Giovanni,Carrara,"400,000",Pitcher,,,,,,,,,,,,,,,,
Seattle Mariners,Jeff,Cirillo,"6,725,000",Third Baseman,,,,,,,,,,,,,,,,
Seattle Mariners,Greg,Colbrunn,"750,000",First Baseman,,,,,,,,,,,,,,,,
Seattle Mariners,Ben,Davis,"1,000,000",Catcher,,,,,,,,,,,,,,,,
Seattle Mariners,Ryan,Franklin,"425,000",Pitcher,,,,,,,,,,,,,,,,
Seattle Mariners,Freddy,Garcia,"6,875,000",Pitcher,,,,,,,,,,,,,,,,
Seattle Mariners,Carlos,Guillen,"2,500,000",Shortstop,,,,,,,,,,,,,,,,
Seattle Mariners,Shigetoshi,Hasegawa,"1,800,000",Pitcher,,,,,,,,,,,,,,,,
Seattle Mariners,John,Mabry,"600,000",First Baseman,,,,,,,,,,,,,,,,
Seattle Mariners,Edgar,Martinez,"4,000,000",First Baseman,,,,,,,,,,,,,,,,
Seattle Mariners,Julio,Mateo,"302,500",Pitcher,,,,,,,,,,,,,,,,
Seattle Mariners,Mark,McLemore,"3,150,000",Second Baseman,,,,,,,,,,,,,,,,
Seattle Mariners,Gil,Meche,"325,000",Pitcher,,,,,,,,,,,,,,,,
Seattle Mariners,Jamie,Moyer,"6,500,000",Pitcher,,,,,,,,,,,,,,,,
Seattle Mariners,Jeff,Nelson,"3,983,333",Pitcher,,,,,,,,,,,,,,,,
Seattle Mariners,John,Olerud,"7,700,000",First Baseman,,,,,,,,,,,,,,,,
Seattle Mariners,Joel,Pineiro,"440,000",Pitcher,,,,,,,,,,,,,,,,
Seattle Mariners,Arthur,Rhodes,"3,500,000",Pitcher,,,,,,,,,,,,,,,,
Seattle Mariners,Kazuhiro,Sasaki,"8,000,000",Pitcher,,,,,,,,,,,,,,,,
Seattle Mariners,Chris,Snelling,"300,000",Outfielder,,,,,,,,,,,,,,,,
Seattle Mariners,Ichiro,Suzuki,"4,666,667",Outfielder,,,,,,,,,,,,,,,,
Seattle Mariners,Dan,Wilson,"3,500,000",Catcher,,,,,,,,,,,,,,,,
Seattle Mariners,Randy,Winn,"3,300,000",Outfielder,,,,,,,,,,,,,,,,
Oakland Athletics,Micah,Bowie,"304,000",Pitcher,,,,,,,,,,,,,,,,
Oakland Athletics,Chad,Bradford,"331,000",Pitcher,,,,,,,,,,,,,,,,
Oakland Athletics,Eric,Byrnes,"300,000",Outfielder,,,,,,,,,,,,,,,,
Oakland Athletics,Eric,Chavez,"3,675,000",Third Baseman,,,,,,,,,,,,,,,,
Oakland Athletics,Erubiel,Durazo,"1,065,000",First Baseman,,,,,,,,,,,,,,,,
Oakland Athletics,Jermaine,Dye,"11,666,667",Outfielder,,,,,,,,,,,,,,,,
Oakland Athletics,Mark,Ellis,"307,500",Shortstop,,,,,,,,,,,,,,,,
Oakland Athletics,Jeremy,Fikac,"316,000",Pitcher,,,,,,,,,,,,,,,,
Oakland Athletics,Keith,Foulke,"6,000,000",Pitcher,,,,,,,,,,,,,,,,
Oakland Athletics,Ron,Gant,"350,000",Outfielder,,,,,,,,,,,,,,,,
Oakland Athletics,John,Halama,"750,000",Pitcher,,,,,,,,,,,,,,,,
Oakland Athletics,Scott,Hatteberg,"1,750,000",Catcher,,,,,,,,,,,,,,,,
Oakland Athletics,Ramon,Hernandez,"1,887,500",Catcher,,,,,,,,,,,,,,,,
Oakland Athletics,Tim,Hudson,"2,700,000",Pitcher,,,,,,,,,,,,,,,,
Oakland Athletics,Mark,Johnson,"500,000",Catcher,,,,,,,,,,,,,,,,
Oakland Athletics,Ted,Lilly,"335,000",Pitcher,,,,,,,,,,,,,,,,
Oakland Athletics,Terrence,Long,"2,175,000",Outfielder,,,,,,,,,,,,,,,,
Oakland Athletics,Jim,Mecir,"3,216,667",Pitcher,,,,,,,,,,,,,,,,
Oakland Athletics,Frank,Menechino,"334,500",Second Baseman,,,,,,,,,,,,,,,,
Oakland Athletics,Mark,Mulder,"2,650,000",Pitcher,,,,,,,,,,,,,,,,
Oakland Athletics,Mike,Neu,"300,000",Pitcher,,,,,,,,,,,,,,,,
Oakland Athletics,Adam,Piatt,"322,000",Third Baseman,,,,,,,,,,,,,,,,
Oakland Athletics,Ricardo,Rincon,"1,700,000",Pitcher,,,,,,,,,,,,,,,,
Oakland Athletics,Chris,Singleton,"1,200,000",Outfielder,,,,,,,,,,,,,,,,
Oakland Athletics,Miguel,Tejada,"5,125,000",Shortstop,,,,,,,,,,,,,,,,
Oakland Athletics,Barry,Zito,"1,000,000",Pitcher,,,,,,,,,,,,,,,,
Texas Rangers,Hank,Blalock,"302,500",Third Baseman,,,,,,,,,,,,,,,,
Texas Rangers,Jermaine,Clark,"300,000",Second Baseman,,,,,,,,,,,,,,,,
Texas Rangers,Francisco,Cordero,"900,000",Pitcher,,,,,,,,,,,,,,,,
Texas Rangers,Einar,Diaz,"1,837,500",Catcher,,,,,,,,,,,,,,,,
Texas Rangers,Carl,Everett,"9,150,000",Outfielder,,,,,,,,,,,,,,,,
Texas Rangers,Aaron,Fultz,"600,000",Pitcher,,,,,,,,,,,,,,,,
Texas Rangers,Reynaldo,Garcia,"300,000",Pitcher,,,,,,,,,,,,,,,,
Texas Rangers,Doug,Glanville,"1,000,000",Outfielder,,,,,,,,,,,,,,,,
Texas Rangers,Juan,Gonzalez,"13,000,000",Outfielder,,,,,,,,,,,,,,,,
Texas Rangers,Todd,Greene,"750,000",Catcher,,,,,,,,,,,,,,,,
Texas Rangers,Rusty,Greer,"7,000,000",Outfielder,,,,,,,,,,,,,,,,
Texas Rangers,Chad,Kreuter,"750,000",Catcher,,,,,,,,,,,,,,,,
Texas Rangers,Mike,Lamb,"440,000",Third Baseman,,,,,,,,,,,,,,,,
Texas Rangers,Colby,Lewis,"302,500",Pitcher,,,,,,,,,,,,,,,,
Texas Rangers,Kevin,Mench,"327,500",Outfielder,,,,,,,,,,,,,,,,
Texas Rangers,CJ,Nitkowski,"550,000",Pitcher,,,,,,,,,,,,,,,,
Texas Rangers,Rafael,Palmeiro,"9,000,000",First Baseman,,,,,,,,,,,,,,,,
Texas Rangers,Chan,Park,"13,000,000",Pitcher,,,,,,,,,,,,,,,,
Texas Rangers,Herbert,Perry,"1,300,000",Third Baseman,,,,,,,,,,,,,,,,
Texas Rangers,Jay,Powell,"3,250,000",Pitcher,,,,,,,,,,,,,,,,
Texas Rangers,Alex,Rodriguez,"22,000,000",Shortstop,,,,,,,,,,,,,,,,
Texas Rangers,Ruben,Sierra,"600,000",Outfielder,,,,,,,,,,,,,,,,
Texas Rangers,Mark,Teixeira,"750,000",Third Baseman,,,,,,,,,,,,,,,,
Texas Rangers,John,Thomson,"1,300,000",Pitcher,,,,,,,,,,,,,,,,
Texas Rangers,Ugueth,Urbina,"4,500,000",Pitcher,,,,,,,,,,,,,,,,
Texas Rangers,Ismael,Valdes,"2,500,000",Pitcher,,,,,,,,,,,,,,,,
Texas Rangers,Poppel,Van,"2,500,000",Pitcher,,,,,,,,,,,,,,,,
Texas Rangers,Esteban,Yan,"1,500,000",Pitcher,,,,,,,,,,,,,,,,
Texas Rangers,Mike,Young,"415,000",Shortstop,,,,,,,,,,,,,,,,
Texas Rangers,Jeff,Zimmerman,"3,366,667",Pitcher,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,"11,500,000",,,,,,,,,,,,,,,,,
,,,"302,500",,,,,,,,,,,,,,,,,
,,,"325,000",,,,,,,,,,,,,,,,,
,,,"315,000",,,,,,,,,,,,,,,,,
,,,"2,266,667",,,,,,,,,,,,,,,,,
,,,"7,833,333",,,,,,,,,,,,,,,,,
,,,"312,500",,,,,,,,,,,,,,,,,
,,,"1,425,000",,,,,,,,,,,,,,,,,
,,,"8,166,667",,,,,,,,,,,,,,,,,
,,,"305,000",,,"2,276,273",,,,,,,,,,,,,,
,,,"3,875,000",,,,,,,,,,,,,,,,,
,,,"375,000",,,,,,,,,,,,,,,,,
,,,"302,500",,,,,,,,,,,,,,,,,
,,,"304,000",,,,,,,,,,,,,,,,,
,,,"331,000",,,,,,,,,,,,,,,,,
,,,"316,000",,,,,,,,,,,,,,,,,
,,,"6,000,000",,,,,,,,,,,,,,,,,
,,,"750,000",,,,,,,,,,,,,,,,,
,,,"2,700,000",,,,,,,,,,,,,,,,,
,,,"335,000",,,,,,,,,,,,,,,,,
,,,"3,216,667",,,,,,,,,,,,,,,,,
,,,"2,650,000",,,,,,,,,,,,,,,,,
,,,"300,000",,,,,,,,,,,,,,,,,
,,,"1,700,000",,,,,,,,,,,,,,,,,
,,,"1,000,000",,,,,,,,,,,,,,,,,
